Level	Others	RiPPs	NRPS	PKS	Terpene
f__SURF-24	0	0	0	1	2
f__B-1AR	0	0	0	0	1
f__OLB5	1	0	0	1	1
f__JABWAT01	0	0	0	0	0
f__HRBIN21	0	0	0	0	0
f__JAEUSM01	0	0	0	0	0
f__Kapabacteriaceae	0	0	1	4	18
f__NICIL-2	0	0	0	0	2
f__UBA2268	3	3	0	1	15
f__UBA4661	0	0	0	0	0
f__UBA7675	0	0	0	0	0
f__UBA961	0	0	0	0	3
f__WFXC01	0	0	0	0	0
f__OLB7	0	0	0	0	0
f__Palsa-1295	0	0	0	2	3
f__Kryptoniaceae	0	0	0	0	0
f__Balneolaceae	1	0	0	39	63
f__HLUCCA01	0	0	0	1	3
f__M1805	0	0	0	0	0
f__Natronogracilivirgulaceae	0	0	0	0	0
f__PXAI01	0	0	0	0	0
f__BA12	0	0	0	0	0
f__Bin80	0	0	0	0	0
f__ISCAR-4553	0	0	0	0	0
f__MEBIC09517	0	0	0	0	0
f__Rhodothermaceae	1	1	3	2	2
f__Rubricoccaceae	0	6	0	1	1
f__Salinibacteraceae	0	0	0	3	6
f__UBA10348	0	0	0	4	3
f__UBA2364	0	0	0	0	0
f__VXPQ01	0	0	0	0	0
f__GCA-2699105	0	0	0	0	0
f__JAADGX01	0	0	0	0	0
f__SZUA-365	0	0	0	0	0
f__T3Sed10-11	0	0	0	0	0
f__BY39	0	0	0	0	0
f__F1-140-MAGs086	1	0	0	0	2
f__SZUA-254	0	0	0	0	1
f__UBA10030	0	3	0	2	5
f__UBA6906	0	0	0	0	0
f__UBA8401	0	0	0	0	1
f__Bacteriovoracaceae	50	27	27	30	7
f__CAIPTA01	0	0	0	0	0
f__JAALKR01	0	0	0	0	0
f__CAIMNF01	0	1	0	0	1
f__UBA1018	3	11	18	1	15
f__UBA6935	0	0	0	0	0
f__UBA923	0	0	0	0	0
f__1-14-0-10-45-34	0	0	0	0	0
f__Bdellovibrionaceae	1	9	1	3	3
f__JACOND01	0	0	0	0	0
f__SG-bin7	0	0	0	0	0
f__UBA1609	1	4	0	0	1
f__UBA6776	0	0	0	0	0
f__UBA840	11	4	0	2	3
f__JABDDW01	0	0	0	0	0
f__UBA2466	0	0	0	0	2
f__Bin106	0	0	0	0	0
f__Bog-1112	0	0	0	0	0
f__CACXFL01	4	3	0	0	2
f__CAIMVM01	0	0	0	0	0
f__JAGOVF01	0	0	0	0	0
f__Oligoflexaceae	0	0	0	0	0
f__RGVZ01	1	1	1	1	2
f__Silvanigrellaceae	0	2	0	1	0
f__UBA2394	0	0	0	0	0
f__UBA2428	1	2	1	1	1
f__YA12-FULL-61-11	0	0	0	0	0
f__4572-78	0	0	0	0	0
f__J111	0	0	0	0	0
f__NAK82	0	0	0	0	0
f__A4b	33	13	7	14	19
f__Aggregatilineaceae	0	0	0	0	0
f__Ch27	0	0	0	0	0
f__J027	0	5	0	0	1
f__JAFGMM01	0	0	0	0	0
f__UBA2796	0	5	0	4	3
f__UBA3940	0	0	0	0	0
f__Anaerolineaceae	2	0	0	1	3
f__DRKV01	0	0	0	0	0
f__DRMV01	0	0	0	0	0
