ID	Marine	Freshwater	Terrestrialr
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|UBA8592	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|WLNW01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Actinomarinales|Actinomarinaceae	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|ATN3|ATN3	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|Chersky-534	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|IMCC26256	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|JACPCJ01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|JAGNEX01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|JAGPDB01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-555	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|PALSA-610	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|IMCC26256|VFJJ01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA2766|UBA2766	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|Bin76	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|JAENVV01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|S012-128	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|SHLN01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|SZUA-232	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|UBA11373	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|UBA4744	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|UBA5794	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|UBA5794|ZC4RG35	1	1	1
