ID	niches
3300027850_80	Freshwater
3300020186_23	Freshwater
anoxic_mOTU_3283	Freshwater
3300013392_5	Freshwater
3300020171_9	Freshwater
anoxic_mOTU_1970	Freshwater
3300013126_85	Freshwater
3300013137_63	Freshwater
3300027819_33	Freshwater
anoxic_mOTU_2161	Freshwater
3300013004_73	Freshwater
anoxic_mOTU_1036	Freshwater
anoxic_mOTU_0006	Freshwater
anoxic_mOTU_0822	Freshwater
anoxic_mOTU_0375	Freshwater
anoxic_mOTU_1287	Freshwater
anoxic_mOTU_0228	Freshwater
anoxic_mOTU_1684	Freshwater
3300025390_4	Freshwater
3300025395_5	Freshwater
3300025420_4	Freshwater
3300025648_15	Freshwater
3300025788_5	Freshwater
3300025838_17	Freshwater
anoxic_mOTU_0190	Freshwater
3300017532_49	Freshwater
anoxic_mOTU_0175	Freshwater
3300000162_1	Freshwater
3300021126_3	Freshwater
3300020681_1	Freshwater
3300020683_2	Freshwater
3300020685_1	Freshwater
3300020689_2	Freshwater
3300020691_2	Freshwater
3300020695_3	Freshwater
3300020705_4	Freshwater
3300020706_3	Freshwater
3300020707_2	Freshwater
3300020712_5	Freshwater
3300020713_1	Freshwater
3300020715_5	Freshwater
3300020717_6	Freshwater
3300020718_2	Freshwater
3300020721_3	Freshwater
3300020722_2	Freshwater
3300020729_5	Freshwater
3300020730_4	Freshwater
3300020733_4	Freshwater
3300020735_6	Freshwater
3300021114_2	Freshwater
3300021133_2	Freshwater
3300025390_2	Freshwater
3300025395_2	Freshwater
3300025410_2	Freshwater
3300025420_3	Freshwater
3300025648_9	Freshwater
3300025777_1	Freshwater
3300025779_1	Freshwater
3300025788_3	Freshwater
anoxic_mOTU_0395	Freshwater
3300013130_56	Freshwater
3300013133_52	Freshwater
3300027841_20	Freshwater
anoxic_mOTU_0044	Freshwater
anoxic_mOTU_1965	Freshwater
3300017988_17	Freshwater
3300027128_8	Freshwater
3300027152_10	Freshwater
3300027494_10	Freshwater
3300027597_12	Freshwater
3300014152_10	Freshwater
3300017788_54	Freshwater
anoxic_mOTU_0922	Freshwater
3300014208_46	Freshwater
3300022602_23	Freshwater
3300024906_2	Freshwater
3300024962_7	Freshwater
3300024949_3	Freshwater
anoxic_mOTU_2854	Freshwater
3300000227_20	Freshwater
anoxic_mOTU_1725	Freshwater
3300024958_5	Freshwater
3300027983_47	Freshwater
3300024930_4	Freshwater
3300027128_6	Freshwater
